origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
24,Motithang,14,27.478166,89.626891,110,Early Learning Centre PS,27.4766506425,89.6197167055,,
25,Namseyling,1,27.478166,89.626891,110,Early Learning Centre PS,27.404257,89.6064,,
27,Pamtsho,2,27.478166,89.626891,110,Early Learning Centre PS,27.5107091633,89.6341291296,,
32,Simtokha,2,27.478166,89.626891,110,Early Learning Centre PS,27.4344083978,89.6678739051,,
33,Taba,6,27.478166,89.626891,110,Early Learning Centre PS,27.5129062519,89.6451777064,,
36,Yangchenphug,3,27.478166,89.626891,110,Early Learning Centre PS,27.467397,89.6467373768,,
38,Zilukha,3,27.478166,89.626891,110,Early Learning Centre PS,27.4855720912,89.6302952398,,
1,Babesa,4,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4291816677,89.6472096023,,
4,Changangkha,3,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4724539904,89.6308464685,,
5,Changgidaphu,3,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4599353896,89.6333761155,,
6,Changjalu,2,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4469707462,89.6587524835,,
7,Changzamtog,3,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4611489703,89.641853715,,
9,Core,3,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4733136477,89.6382533581,,
19,Kawangjangsa,2,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4855720912,89.6302952398,,
20,Khasadrapchu,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.386985,89.584902,,
22,Langjophakha,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4958974797,89.6413215052,,
24,Motithang,10,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4766506425,89.6197167055,,
26,Olakha,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.4469707462,89.6587524835,,
27,Pamtsho,1,27.464768,89.651733,111,Educating for Lifelong Citizenship High School,27.5107091633,89.6341291296,,
